$HAVE_CRYPTO,$HAVE_HASH,$HAVE_REPLICATION,$HAVE_VERIFY,$HAVE_SEQUENCE,$HAVE_STATISTICS,$DIAGNOSTIC,$PAGESIZE,$PS1K,$PS4K,$PS8K,$PS16K,$PS32K,$CACHESIZE,$CS32MB,$CS16MB,$CS64MB,$CS512MB,$<Performance
0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.5029
1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,3.2676
1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.5127
1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.8566
1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.5093
1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.8708
1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,6.5311
1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5.8709
0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.4676
0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.5266
0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.4742
0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.5337
1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.5416
1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.5501
1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.8636
1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.8617
0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.4789
0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0.5283
1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,2.0329
1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,5.8585
1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,6.5301
0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.5015
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.7736
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.5106
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.7250
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.4991
1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.7364
0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.7420
1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.9029
1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,10.9054
0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.5022
1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.8926
0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0.5013
1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,10.7426
