Overlap,Num,Method
25,23,XTREE
25,13,ALVES
25,26,SHATW
25,7,OLIVE
50,80,XTREE
50,15,ALVES
50,2,SHATW
50,13,OLIVE
75,35,XTREE
75,6,ALVES
75,0,SHATW
75,5,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,4,OLIVE
25,23,XTREE
25,16,ALVES
25,31,SHATW
25,7,OLIVE
50,75,XTREE
50,17,ALVES
50,1,SHATW
50,15,OLIVE
75,40,XTREE
75,3,ALVES
75,0,SHATW
75,5,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,23,XTREE
25,13,ALVES
25,30,SHATW
25,8,OLIVE
50,78,XTREE
50,11,ALVES
50,2,SHATW
50,11,OLIVE
75,37,XTREE
75,3,ALVES
75,0,SHATW
75,4,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,23,XTREE
25,20,ALVES
25,34,SHATW
25,5,OLIVE
50,79,XTREE
50,12,ALVES
50,1,SHATW
50,16,OLIVE
75,36,XTREE
75,7,ALVES
75,0,SHATW
75,4,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,25,XTREE
25,17,ALVES
25,31,SHATW
25,8,OLIVE
50,76,XTREE
50,10,ALVES
50,1,SHATW
50,13,OLIVE
75,35,XTREE
75,3,ALVES
75,0,SHATW
75,3,OLIVE
100,110,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,24,XTREE
25,17,ALVES
25,31,SHATW
25,7,OLIVE
50,75,XTREE
50,15,ALVES
50,2,SHATW
50,10,OLIVE
75,39,XTREE
75,1,ALVES
75,0,SHATW
75,3,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,27,XTREE
25,16,ALVES
25,25,SHATW
25,10,OLIVE
50,75,XTREE
50,14,ALVES
50,1,SHATW
50,23,OLIVE
75,36,XTREE
75,5,ALVES
75,0,SHATW
75,2,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,26,XTREE
25,19,ALVES
25,31,SHATW
25,7,OLIVE
50,76,XTREE
50,13,ALVES
50,1,SHATW
50,14,OLIVE
75,34,XTREE
75,1,ALVES
75,0,SHATW
75,3,OLIVE
100,110,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,25,XTREE
25,17,ALVES
25,27,SHATW
25,7,OLIVE
50,78,XTREE
50,9,ALVES
50,2,SHATW
50,13,OLIVE
75,36,XTREE
75,2,ALVES
75,0,SHATW
75,4,OLIVE
100,107,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,23,XTREE
25,13,ALVES
25,29,SHATW
25,10,OLIVE
50,76,XTREE
50,16,ALVES
50,2,SHATW
50,18,OLIVE
75,41,XTREE
75,1,ALVES
75,0,SHATW
75,2,OLIVE
100,106,XTREE
100,0,ALVES
100,0,SHATW
100,4,OLIVE
25,28,XTREE
25,13,ALVES
25,32,SHATW
25,10,OLIVE
50,75,XTREE
50,14,ALVES
50,2,SHATW
50,18,OLIVE
75,33,XTREE
75,4,ALVES
75,0,SHATW
75,3,OLIVE
100,110,XTREE
100,0,ALVES
100,0,SHATW
100,4,OLIVE
25,25,XTREE
25,15,ALVES
25,25,SHATW
25,10,OLIVE
50,76,XTREE
50,15,ALVES
50,2,SHATW
50,18,OLIVE
75,35,XTREE
75,1,ALVES
75,0,SHATW
75,5,OLIVE
100,110,XTREE
100,0,ALVES
100,0,SHATW
100,4,OLIVE
25,24,XTREE
25,18,ALVES
25,25,SHATW
25,9,OLIVE
50,79,XTREE
50,13,ALVES
50,2,SHATW
50,12,OLIVE
75,35,XTREE
75,2,ALVES
75,0,SHATW
75,2,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,25,XTREE
25,12,ALVES
25,24,SHATW
25,10,OLIVE
50,76,XTREE
50,13,ALVES
50,2,SHATW
50,15,OLIVE
75,37,XTREE
75,1,ALVES
75,0,SHATW
75,4,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,1,OLIVE
25,25,XTREE
25,14,ALVES
25,27,SHATW
25,7,OLIVE
50,78,XTREE
50,21,ALVES
50,2,SHATW
50,12,OLIVE
75,35,XTREE
75,3,ALVES
75,0,SHATW
75,1,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,25,XTREE
25,12,ALVES
25,21,SHATW
25,10,OLIVE
50,78,XTREE
50,10,ALVES
50,3,SHATW
50,13,OLIVE
75,36,XTREE
75,2,ALVES
75,0,SHATW
75,2,OLIVE
100,107,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,25,XTREE
25,15,ALVES
25,30,SHATW
25,7,OLIVE
50,76,XTREE
50,12,ALVES
50,3,SHATW
50,20,OLIVE
75,36,XTREE
75,4,ALVES
75,0,SHATW
75,4,OLIVE
100,109,XTREE
100,0,ALVES
100,0,SHATW
100,3,OLIVE
25,27,XTREE
25,14,ALVES
25,32,SHATW
25,10,OLIVE
50,75,XTREE
50,14,ALVES
50,2,SHATW
50,18,OLIVE
75,38,XTREE
75,2,ALVES
75,0,SHATW
75,4,OLIVE
100,106,XTREE
100,0,ALVES
100,0,SHATW
100,5,OLIVE
25,23,XTREE
25,11,ALVES
25,33,SHATW
25,10,OLIVE
50,81,XTREE
50,12,ALVES
50,2,SHATW
50,19,OLIVE
75,34,XTREE
75,3,ALVES
75,0,SHATW
75,2,OLIVE
100,108,XTREE
100,0,ALVES
100,0,SHATW
100,2,OLIVE
25,26,XTREE
25,16,ALVES
25,27,SHATW
25,8,OLIVE
50,75,XTREE
50,14,ALVES
50,2,SHATW
50,14,OLIVE
75,36,XTREE
75,4,ALVES
